CASP3	DCC	activation
IFNA2	CSF2RB	activation
IFNA2	IL23R	activation
IFNA2	EPOR	activation
IFNA2	IFNAR1	activation
IFNA2	IFNAR2	activation
IFNA2	IFNGR1	activation
IFNA2	IFNGR2	activation
IFNA2	IL2RA	activation
IFNA2	IL2RB	activation
IFNA2	IL2RG	activation
IFNA2	IL3RA	activation
IFNA2	IL4R	activation
IFNA2	IL5RA	activation
IFNA2	IL6R	activation
IFNA2	IL6ST	activation
IFNA2	IL7R	activation
IFNA2	IL12RB1	activation
IFNA2	IL12RB2	activation
IFNA2	IL13RA1	activation
IFNA2	IL15RA	activation
IFNA4	CSF2RB	activation
IFNA4	IL23R	activation
IFNA4	EPOR	activation
IFNA4	IFNAR1	activation
IFNA4	IFNAR2	activation
IFNA4	IFNGR1	activation
IFNA4	IFNGR2	activation
IFNA4	IL2RA	activation
IFNA4	IL2RB	activation
IFNA4	IL2RG	activation
IFNA4	IL3RA	activation
IFNA4	IL4R	activation
IFNA4	IL5RA	activation
IFNA4	IL6R	activation
IFNA4	IL6ST	activation
IFNA4	IL7R	activation
IFNA4	IL12RB1	activation
IFNA4	IL12RB2	activation
IFNA4	IL13RA1	activation
IFNA4	IL15RA	activation
IFNA5	CSF2RB	activation
IFNA5	IL23R	activation
IFNA5	EPOR	activation
IFNA5	IFNAR1	activation
IFNA5	IFNAR2	activation
IFNA5	IFNGR1	activation
IFNA5	IFNGR2	activation
IFNA5	IL2RA	activation
IFNA5	IL2RB	activation
IFNA5	IL2RG	activation
IFNA5	IL3RA	activation
IFNA5	IL4R	activation
IFNA5	IL5RA	activation
IFNA5	IL6R	activation
IFNA5	IL6ST	activation
IFNA5	IL7R	activation
IFNA5	IL12RB1	activation
IFNA5	IL12RB2	activation
IFNA5	IL13RA1	activation
IFNA5	IL15RA	activation
IFNA6	CSF2RB	activation
IFNA6	IL23R	activation
IFNA6	EPOR	activation
IFNA6	IFNAR1	activation
IFNA6	IFNAR2	activation
IFNA6	IFNGR1	activation
IFNA6	IFNGR2	activation
IFNA6	IL2RA	activation
IFNA6	IL2RB	activation
IFNA6	IL2RG	activation
IFNA6	IL3RA	activation
IFNA6	IL4R	activation
IFNA6	IL5RA	activation
IFNA6	IL6R	activation
IFNA6	IL6ST	activation
IFNA6	IL7R	activation
IFNA6	IL12RB1	activation
IFNA6	IL12RB2	activation
IFNA6	IL13RA1	activation
IFNA6	IL15RA	activation
IFNA7	CSF2RB	activation
IFNA7	IL23R	activation
IFNA7	EPOR	activation
IFNA7	IFNAR1	activation
IFNA7	IFNAR2	activation
IFNA7	IFNGR1	activation
IFNA7	IFNGR2	activation
IFNA7	IL2RA	activation
IFNA7	IL2RB	activation
IFNA7	IL2RG	activation
IFNA7	IL3RA	activation
IFNA7	IL4R	activation
IFNA7	IL5RA	activation
IFNA7	IL6R	activation
IFNA7	IL6ST	activation
IFNA7	IL7R	activation
IFNA7	IL12RB1	activation
IFNA7	IL12RB2	activation
IFNA7	IL13RA1	activation
IFNA7	IL15RA	activation
IFNA8	CSF2RB	activation
IFNA8	IL23R	activation
IFNA8	EPOR	activation
IFNA8	IFNAR1	activation
IFNA8	IFNAR2	activation
IFNA8	IFNGR1	activation
IFNA8	IFNGR2	activation
IFNA8	IL2RA	activation
IFNA8	IL2RB	activation
IFNA8	IL2RG	activation
IFNA8	IL3RA	activation
IFNA8	IL4R	activation
IFNA8	IL5RA	activation
IFNA8	IL6R	activation
IFNA8	IL6ST	activation
IFNA8	IL7R	activation
IFNA8	IL12RB1	activation
IFNA8	IL12RB2	activation
IFNA8	IL13RA1	activation
IFNA8	IL15RA	activation
IFNA10	CSF2RB	activation
IFNA10	IL23R	activation
IFNA10	EPOR	activation
IFNA10	IFNAR1	activation
IFNA10	IFNAR2	activation
IFNA10	IFNGR1	activation
IFNA10	IFNGR2	activation
IFNA10	IL2RA	activation
IFNA10	IL2RB	activation
IFNA10	IL2RG	activation
IFNA10	IL3RA	activation
IFNA10	IL4R	activation
IFNA10	IL5RA	activation
IFNA10	IL6R	activation
IFNA10	IL6ST	activation
IFNA10	IL7R	activation
IFNA10	IL12RB1	activation
IFNA10	IL12RB2	activation
IFNA10	IL13RA1	activation
IFNA10	IL15RA	activation
IFNA13	CSF2RB	activation
IFNA13	IL23R	activation
IFNA13	EPOR	activation
IFNA13	IFNAR1	activation
IFNA13	IFNAR2	activation
IFNA13	IFNGR1	activation
IFNA13	IFNGR2	activation
IFNA13	IL2RA	activation
IFNA13	IL2RB	activation
IFNA13	IL2RG	activation
IFNA13	IL3RA	activation
IFNA13	IL4R	activation
IFNA13	IL5RA	activation
IFNA13	IL6R	activation
IFNA13	IL6ST	activation
IFNA13	IL7R	activation
IFNA13	IL12RB1	activation
IFNA13	IL12RB2	activation
IFNA13	IL13RA1	activation
IFNA13	IL15RA	activation
IFNA14	CSF2RB	activation
IFNA14	IL23R	activation
IFNA14	EPOR	activation
IFNA14	IFNAR1	activation
IFNA14	IFNAR2	activation
IFNA14	IFNGR1	activation
IFNA14	IFNGR2	activation
IFNA14	IL2RA	activation
IFNA14	IL2RB	activation
IFNA14	IL2RG	activation
IFNA14	IL3RA	activation
IFNA14	IL4R	activation
IFNA14	IL5RA	activation
IFNA14	IL6R	activation
IFNA14	IL6ST	activation
IFNA14	IL7R	activation
IFNA14	IL12RB1	activation
IFNA14	IL12RB2	activation
IFNA14	IL13RA1	activation
IFNA14	IL15RA	activation
IFNA16	CSF2RB	activation
IFNA16	IL23R	activation
IFNA16	EPOR	activation
IFNA16	IFNAR1	activation
IFNA16	IFNAR2	activation
IFNA16	IFNGR1	activation
IFNA16	IFNGR2	activation
IFNA16	IL2RA	activation
IFNA16	IL2RB	activation
IFNA16	IL2RG	activation
IFNA16	IL3RA	activation
IFNA16	IL4R	activation
IFNA16	IL5RA	activation
IFNA16	IL6R	activation
IFNA16	IL6ST	activation
IFNA16	IL7R	activation
IFNA16	IL12RB1	activation
IFNA16	IL12RB2	activation
IFNA16	IL13RA1	activation
IFNA16	IL15RA	activation
IFNA17	CSF2RB	activation
IFNA17	IL23R	activation
IFNA17	EPOR	activation
IFNA17	IFNAR1	activation
IFNA17	IFNAR2	activation
IFNA17	IFNGR1	activation
IFNA17	IFNGR2	activation
IFNA17	IL2RA	activation
IFNA17	IL2RB	activation
IFNA17	IL2RG	activation
IFNA17	IL3RA	activation
IFNA17	IL4R	activation
IFNA17	IL5RA	activation
IFNA17	IL6R	activation
IFNA17	IL6ST	activation
IFNA17	IL7R	activation
IFNA17	IL12RB1	activation
IFNA17	IL12RB2	activation
IFNA17	IL13RA1	activation
IFNA17	IL15RA	activation
IFNA21	CSF2RB	activation
IFNA21	IL23R	activation
IFNA21	EPOR	activation
IFNA21	IFNAR1	activation
IFNA21	IFNAR2	activation
IFNA21	IFNGR1	activation
IFNA21	IFNGR2	activation
IFNA21	IL2RA	activation
IFNA21	IL2RB	activation
IFNA21	IL2RG	activation
IFNA21	IL3RA	activation
IFNA21	IL4R	activation
IFNA21	IL5RA	activation
IFNA21	IL6R	activation
IFNA21	IL6ST	activation
IFNA21	IL7R	activation
IFNA21	IL12RB1	activation
IFNA21	IL12RB2	activation
IFNA21	IL13RA1	activation
IFNA21	IL15RA	activation
IFNG	CSF2RB	activation
IFNG	IL23R	activation
IFNG	EPOR	activation
IFNG	IFNAR1	activation
IFNG	IFNAR2	activation
IFNG	IFNGR1	activation
IFNG	IFNGR2	activation
IFNG	IL2RA	activation
IFNG	IL2RB	activation
IFNG	IL2RG	activation
IFNG	IL3RA	activation
IFNG	IL4R	activation
IFNG	IL5RA	activation
IFNG	IL6R	activation
IFNG	IL6ST	activation
IFNG	IL7R	activation
IFNG	IL12RB1	activation
IFNG	IL12RB2	activation
IFNG	IL13RA1	activation
IFNG	IL15RA	activation
IL2	CSF2RB	activation
IL2	IL23R	activation
IL2	EPOR	activation
IL2	IFNAR1	activation
IL2	IFNAR2	activation
IL2	IFNGR1	activation
IL2	IFNGR2	activation
IL2	IL2RA	activation
IL2	IL2RB	activation
IL2	IL2RG	activation
IL2	IL3RA	activation
IL2	IL4R	activation
IL2	IL5RA	activation
IL2	IL6R	activation
IL2	IL6ST	activation
IL2	IL7R	activation
IL2	IL12RB1	activation
IL2	IL12RB2	activation
IL2	IL13RA1	activation
IL2	IL15RA	activation
IL3	CSF2RB	activation
IL3	IL23R	activation
IL3	EPOR	activation
IL3	IFNAR1	activation
IL3	IFNAR2	activation
IL3	IFNGR1	activation
IL3	IFNGR2	activation
IL3	IL2RA	activation
IL3	IL2RB	activation
IL3	IL2RG	activation
IL3	IL3RA	activation
IL3	IL4R	activation
IL3	IL5RA	activation
IL3	IL6R	activation
IL3	IL6ST	activation
IL3	IL7R	activation
IL3	IL12RB1	activation
IL3	IL12RB2	activation
IL3	IL13RA1	activation
IL3	IL15RA	activation
IL4	CSF2RB	activation
IL4	IL23R	activation
IL4	EPOR	activation
IL4	IFNAR1	activation
IL4	IFNAR2	activation
IL4	IFNGR1	activation
IL4	IFNGR2	activation
IL4	IL2RA	activation
IL4	IL2RB	activation
IL4	IL2RG	activation
IL4	IL3RA	activation
IL4	IL4R	activation
IL4	IL5RA	activation
IL4	IL6R	activation
IL4	IL6ST	activation
IL4	IL7R	activation
IL4	IL12RB1	activation
IL4	IL12RB2	activation
IL4	IL13RA1	activation
IL4	IL15RA	activation
IL5	CSF2RB	activation
IL5	IL23R	activation
IL5	EPOR	activation
IL5	IFNAR1	activation
IL5	IFNAR2	activation
IL5	IFNGR1	activation
IL5	IFNGR2	activation
IL5	IL2RA	activation
IL5	IL2RB	activation
IL5	IL2RG	activation
IL5	IL3RA	activation
IL5	IL4R	activation
IL5	IL5RA	activation
IL5	IL6R	activation
IL5	IL6ST	activation
IL5	IL7R	activation
IL5	IL12RB1	activation
IL5	IL12RB2	activation
IL5	IL13RA1	activation
IL5	IL15RA	activation
IL7	CSF2RB	activation
IL7	IL23R	activation
IL7	EPOR	activation
IL7	IFNAR1	activation
IL7	IFNAR2	activation
IL7	IFNGR1	activation
IL7	IFNGR2	activation
IL7	IL2RA	activation
IL7	IL2RB	activation
IL7	IL2RG	activation
IL7	IL3RA	activation
IL7	IL4R	activation
IL7	IL5RA	activation
IL7	IL6R	activation
IL7	IL6ST	activation
IL7	IL7R	activation
IL7	IL12RB1	activation
IL7	IL12RB2	activation
IL7	IL13RA1	activation
IL7	IL15RA	activation
IL12A	CSF2RB	activation
IL12A	IL23R	activation
IL12A	EPOR	activation
IL12A	IFNAR1	activation
IL12A	IFNAR2	activation
IL12A	IFNGR1	activation
IL12A	IFNGR2	activation
IL12A	IL2RA	activation
IL12A	IL2RB	activation
IL12A	IL2RG	activation
IL12A	IL3RA	activation
IL12A	IL4R	activation
IL12A	IL5RA	activation
IL12A	IL6R	activation
IL12A	IL6ST	activation
IL12A	IL7R	activation
IL12A	IL12RB1	activation
IL12A	IL12RB2	activation
IL12A	IL13RA1	activation
IL12A	IL15RA	activation
IL12B	CSF2RB	activation
IL12B	IL23R	activation
IL12B	EPOR	activation
IL12B	IFNAR1	activation
IL12B	IFNAR2	activation
IL12B	IFNGR1	activation
IL12B	IFNGR2	activation
IL12B	IL2RA	activation
IL12B	IL2RB	activation
IL12B	IL2RG	activation
IL12B	IL3RA	activation
IL12B	IL4R	activation
IL12B	IL5RA	activation
IL12B	IL6R	activation
IL12B	IL6ST	activation
IL12B	IL7R	activation
IL12B	IL12RB1	activation
IL12B	IL12RB2	activation
IL12B	IL13RA1	activation
IL12B	IL15RA	activation
IL13	CSF2RB	activation
IL13	IL23R	activation
IL13	EPOR	activation
IL13	IFNAR1	activation
IL13	IFNAR2	activation
IL13	IFNGR1	activation
IL13	IFNGR2	activation
IL13	IL2RA	activation
IL13	IL2RB	activation
IL13	IL2RG	activation
IL13	IL3RA	activation
IL13	IL4R	activation
IL13	IL5RA	activation
IL13	IL6R	activation
IL13	IL6ST	activation
IL13	IL7R	activation
IL13	IL12RB1	activation
IL13	IL12RB2	activation
IL13	IL13RA1	activation
IL13	IL15RA	activation
IL15	CSF2RB	activation
IL15	IL23R	activation
IL15	EPOR	activation
IL15	IFNAR1	activation
IL15	IFNAR2	activation
IL15	IFNGR1	activation
IL15	IFNGR2	activation
IL15	IL2RA	activation
IL15	IL2RB	activation
IL15	IL2RG	activation
IL15	IL3RA	activation
IL15	IL4R	activation
IL15	IL5RA	activation
IL15	IL6R	activation
IL15	IL6ST	activation
IL15	IL7R	activation
IL15	IL12RB1	activation
IL15	IL12RB2	activation
IL15	IL13RA1	activation
IL15	IL15RA	activation
IL23A	CSF2RB	activation
IL23A	IL23R	activation
IL23A	EPOR	activation
IL23A	IFNAR1	activation
IL23A	IFNAR2	activation
IL23A	IFNGR1	activation
IL23A	IFNGR2	activation
IL23A	IL2RA	activation
IL23A	IL2RB	activation
IL23A	IL2RG	activation
IL23A	IL3RA	activation
IL23A	IL4R	activation
IL23A	IL5RA	activation
IL23A	IL6R	activation
IL23A	IL6ST	activation
IL23A	IL7R	activation
IL23A	IL12RB1	activation
IL23A	IL12RB2	activation
IL23A	IL13RA1	activation
IL23A	IL15RA	activation
CSF2RB	JAK1	activation
CSF2RB	JAK2	activation
CSF2RB	JAK3	activation
IL23R	JAK1	activation
IL23R	JAK2	activation
IL23R	JAK3	activation
EPOR	JAK1	activation
EPOR	JAK2	activation
EPOR	JAK3	activation
IFNAR1	JAK1	activation
IFNAR1	JAK2	activation
IFNAR1	JAK3	activation
IFNAR2	JAK1	activation
IFNAR2	JAK2	activation
IFNAR2	JAK3	activation
IFNGR1	JAK1	activation
IFNGR1	JAK2	activation
IFNGR1	JAK3	activation
IFNGR2	JAK1	activation
IFNGR2	JAK2	activation
IFNGR2	JAK3	activation
IL2RA	JAK1	activation
IL2RA	JAK2	activation
IL2RA	JAK3	activation
IL2RB	JAK1	activation
IL2RB	JAK2	activation
IL2RB	JAK3	activation
IL2RG	JAK1	activation
IL2RG	JAK2	activation
IL2RG	JAK3	activation
IL3RA	JAK1	activation
IL3RA	JAK2	activation
IL3RA	JAK3	activation
IL4R	JAK1	activation
IL4R	JAK2	activation
IL4R	JAK3	activation
IL5RA	JAK1	activation
IL5RA	JAK2	activation
IL5RA	JAK3	activation
IL6R	JAK1	activation
IL6R	JAK2	activation
IL6R	JAK3	activation
IL6ST	JAK1	activation
IL6ST	JAK2	activation
IL6ST	JAK3	activation
IL7R	JAK1	activation
IL7R	JAK2	activation
IL7R	JAK3	activation
IL12RB1	JAK1	activation
IL12RB1	JAK2	activation
IL12RB1	JAK3	activation
IL12RB2	JAK1	activation
IL12RB2	JAK2	activation
IL12RB2	JAK3	activation
IL13RA1	JAK1	activation
IL13RA1	JAK2	activation
IL13RA1	JAK3	activation
IL15RA	JAK1	activation
IL15RA	JAK2	activation
IL15RA	JAK3	activation
F2	EDNRA	activation
F2	EDNRB	activation
F2	BDKRB1	activation
F2	BDKRB2	activation
F2	LPAR6	activation
F2	AGTR1	activation
F2	LPAR1	activation
F2	F2R	activation
F2	LPAR3	activation
F2	LPAR4	activation
F2	LPAR5	activation
F2	F2RL3	activation
F2	LPAR2	activation
F2	CXCR4	activation
KNG1	EDNRA	activation
KNG1	EDNRB	activation
KNG1	BDKRB1	activation
KNG1	BDKRB2	activation
EDN1	EDNRA	activation
EDN1	EDNRB	activation
EDN1	BDKRB1	activation
EDN1	BDKRB2	activation
AGT	EDNRA	activation
AGT	EDNRB	activation
AGT	BDKRB1	activation
AGT	BDKRB2	activation
AGT	LPAR6	activation
AGT	AGTR1	activation
AGT	LPAR1	activation
AGT	F2R	activation
AGT	LPAR3	activation
AGT	LPAR4	activation
AGT	LPAR5	activation
AGT	F2RL3	activation
AGT	LPAR2	activation
AGT	CXCR4	activation
